Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales
1,Ca-2017-152156,2017-08-11,2017-11-11,Second Class,Cg-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,Fur-Bo-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96
2,Ca-2017-152156,2017-08-11,2017-11-11,Second Class,Cg-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,Fur-Ch-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94
13,Ca-2018-114412,2018-04-15,2018-04-20,Standard Class,Aa-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,Off-Pa-10002365,Office Supplies,Paper,Xerox 1967,15.552
14,Ca-2017-161389,2017-05-12,2017-10-12,Standard Class,Im-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,Off-Bi-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976
15,Us-2016-118983,2016-11-22,2016-11-26,Standard Class,Hp-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,Off-Ap-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81
16,Us-2016-118983,2016-11-22,2016-11-26,Standard Class,Hp-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,Off-Bi-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544
17,Ca-2015-105893,2015-11-11,2015-11-18,Standard Class,Pk-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,Off-St-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88
18,Ca-2015-167164,2015-05-13,2015-05-15,Second Class,Ag-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,Off-St-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5
22,Ca-2017-137330,2017-09-12,2017-12-13,Standard Class,Kb-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,Off-Ar-10000246,Office Supplies,Art,Newell 318,19.46
23,Ca-2017-137330,2017-09-12,2017-12-13,Standard Class,Kb-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,Off-Ap-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34
24,Us-2018-156909,2018-07-16,2018-07-18,Second Class,Sf-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Fur-Ch-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372
25,Ca-2016-106320,2016-09-25,2016-09-30,Standard Class,Eb-13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,Fur-Ta-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63
26,Ca-2017-121755,2017-01-16,2017-01-20,Second Class,Eh-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,Off-Bi-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648
27,Ca-2017-121755,2017-01-16,2017-01-20,Second Class,Eh-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,Tec-Ac-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57
28,Us-2016-150630,2016-09-17,2016-09-21,Standard Class,Tb-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Fur-Bo-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43
29,Us-2016-150630,2016-09-17,2016-09-21,Standard Class,Tb-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Off-Bi-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618
30,Us-2016-150630,2016-09-17,2016-09-21,Standard Class,Tb-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Fur-Fu-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2
31,Us-2016-150630,2016-09-17,2016-09-21,Standard Class,Tb-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Off-En-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264
32,Us-2016-150630,2016-09-17,2016-09-21,Standard Class,Tb-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Off-Ar-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304
33,Us-2016-150630,2016-09-17,2016-09-21,Standard Class,Tb-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Off-Bi-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858
34,Us-2016-150630,2016-09-17,2016-09-21,Standard Class,Tb-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Off-Ar-10001683,Office Supplies,Art,Lumber Crayons,15.76
35,Ca-2018-107727,2018-10-19,2018-10-23,Second Class,Ma-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,Off-Pa-10000249,Office Supplies,Paper,Easy-staple paper,29.472
36,Ca-2017-117590,2017-08-12,2017-10-12,First Class,Gh-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,Tec-Ph-10004977,Technology,Phones,GE 30524EE4,1097.544
37,Ca-2017-117590,2017-08-12,2017-10-12,First Class,Gh-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,Fur-Fu-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92
38,Ca-2016-117415,2016-12-27,2016-12-31,Standard Class,Sn-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,Off-En-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328
39,Ca-2016-117415,2016-12-27,2016-12-31,Standard Class,Sn-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,Fur-Bo-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992
40,Ca-2016-117415,2016-12-27,2016-12-31,Standard Class,Sn-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,Fur-Ch-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058
41,Ca-2016-117415,2016-12-27,2016-12-31,Standard Class,Sn-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,Tec-Ph-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168
43,Ca-2017-101343,2017-07-17,2017-07-22,Standard Class,Ra-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,Off-St-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88
44,Ca-2018-139619,2018-09-19,2018-09-23,Standard Class,Es-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,Off-St-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616
47,Ca-2015-146703,2015-10-20,2015-10-25,Second Class,Po-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,Off-St-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96
48,Ca-2017-169194,2017-06-20,2017-06-25,Standard Class,Lh-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,Tec-Ac-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0
49,Ca-2017-169194,2017-06-20,2017-06-25,Standard Class,Lh-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,Tec-Ph-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8
50,Ca-2016-115742,2016-04-18,2016-04-22,Standard Class,Dp-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,Off-Bi-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22
51,Ca-2016-115742,2016-04-18,2016-04-22,Standard Class,Dp-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,Off-La-10002762,Office Supplies,Labels,Avery 485,75.18
52,Ca-2016-115742,2016-04-18,2016-04-22,Standard Class,Dp-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,Fur-Fu-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16
53,Ca-2016-115742,2016-04-18,2016-04-22,Standard Class,Dp-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,Fur-Ch-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99
54,Ca-2017-105816,2017-11-12,2017-12-17,Standard Class,Jm-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,Off-Fa-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26
55,Ca-2017-105816,2017-11-12,2017-12-17,Standard Class,Jm-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,Tec-Ph-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95
56,Ca-2017-111682,2017-06-17,2017-06-18,First Class,Tb-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Off-St-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56
57,Ca-2017-111682,2017-06-17,2017-06-18,First Class,Tb-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Off-Pa-10001569,Office Supplies,Paper,Xerox 232,32.4
58,Ca-2017-111682,2017-06-17,2017-06-18,First Class,Tb-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Fur-Ch-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41
59,Ca-2017-111682,2017-06-17,2017-06-18,First Class,Tb-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Off-Pa-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56
60,Ca-2017-111682,2017-06-17,2017-06-18,First Class,Tb-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Tec-Ac-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.0
61,Ca-2017-111682,2017-06-17,2017-06-18,First Class,Tb-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Off-Bi-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48
62,Ca-2017-111682,2017-06-17,2017-06-18,First Class,Tb-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Off-Ar-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68
63,Ca-2016-135545,2016-11-24,2016-11-30,Standard Class,Km-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,Tec-Ac-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98
64,Ca-2016-135545,2016-11-24,2016-11-30,Standard Class,Km-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,Off-Bi-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824
65,Ca-2016-135545,2016-11-24,2016-11-30,Standard Class,Km-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,Off-Pa-10003892,Office Supplies,Paper,Xerox 1943,146.73
66,Ca-2016-135545,2016-11-24,2016-11-30,Standard Class,Km-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,Fur-Fu-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76
67,Us-2016-164175,2016-04-30,2016-05-05,Standard Class,Ps-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,Fur-Ch-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115
68,Ca-2015-106376,2015-05-12,2015-10-12,Standard Class,Bs-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,Off-Ar-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024
69,Ca-2015-106376,2015-05-12,2015-10-12,Standard Class,Bs-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,Tec-Ph-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968
70,Ca-2017-119823,2017-04-06,2017-06-06,First Class,Kd-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,Off-Pa-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88
71,Ca-2017-106075,2017-09-18,2017-09-23,Standard Class,Hm-14980,Henry MacAllister,Consumer,United States,New York City,New York,10009,East,Off-Bi-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616
72,Ca-2018-114440,2018-09-14,2018-09-17,Second Class,Tb-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201,Central,Off-Pa-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05
76,Us-2018-118038,2018-09-12,2018-11-12,First Class,Kb-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,Off-Bi-10004182,Office Supplies,Binders,Economy Binders,1.248
77,Us-2018-118038,2018-09-12,2018-11-12,First Class,Kb-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,Fur-Fu-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708
78,Us-2018-118038,2018-09-12,2018-11-12,First Class,Kb-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,Off-St-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24
84,Ca-2016-149734,2016-03-09,2016-08-09,Standard Class,Jc-16105,Julie Creighton,Corporate,United States,Durham,North Carolina,27707,South,Off-En-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984
85,Us-2018-119662,2018-11-13,2018-11-16,First Class,Cs-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,60623,Central,Off-St-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376
86,Ca-2018-140088,2018-05-28,2018-05-30,Second Class,Po-18865,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,29203,South,Fur-Ch-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96
89,Ca-2017-159695,2017-05-04,2017-10-04,Second Class,Gm-14455,Gary Mitchum,Home Office,United States,Houston,Texas,77095,Central,Off-St-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368
90,Ca-2017-109806,2017-09-17,2017-09-22,Standard Class,Js-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,Off-Ar-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1
91,Ca-2017-109806,2017-09-17,2017-09-22,Standard Class,Js-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,Tec-Ph-10004093,Technology,Phones,Panasonic Kx-TS550,73.584
92,Ca-2017-109806,2017-09-17,2017-09-22,Standard Class,Js-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,Off-Pa-10000304,Office Supplies,Paper,Xerox 1995,6.48
93,Ca-2016-149587,2016-01-31,2016-05-02,Second Class,Kb-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,Off-Pa-10003177,Office Supplies,Paper,Xerox 1999,12.96
94,Ca-2016-149587,2016-01-31,2016-05-02,Second Class,Kb-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,Fur-Fu-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34
95,Ca-2016-149587,2016-01-31,2016-05-02,Second Class,Kb-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,Off-Bi-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96
96,Us-2018-109484,2018-06-11,2018-12-11,Standard Class,Rb-19705,Roger Barcio,Home Office,United States,Portland,Oregon,97206,West,Off-Bi-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682
97,Ca-2018-161018,2018-09-11,2018-11-11,Second Class,Pn-18775,Parhena Norris,Home Office,United States,New York City,New York,10009,East,Fur-Fu-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53
98,Ca-2018-157833,2018-06-17,2018-06-20,First Class,Kd-16345,Katherine Ducich,Consumer,United States,San Francisco,California,94122,West,Off-Bi-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312
99,Ca-2017-149223,2017-06-09,2017-11-09,Standard Class,Er-13855,Elpida Rittenbach,Corporate,United States,Saint Paul,Minnesota,55106,Central,Off-Ap-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88
103,Ca-2017-129903,2017-01-12,2017-04-12,Second Class,Gz-14470,Gary Zandusky,Consumer,United States,Rochester,Minnesota,55901,Central,Off-Pa-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92
104,Us-2016-156867,2016-11-13,2016-11-17,Standard Class,Lc-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,Tec-Ac-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896
105,Us-2016-156867,2016-11-13,2016-11-17,Standard Class,Lc-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,Fur-Fu-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36
106,Us-2016-156867,2016-11-13,2016-11-17,Standard Class,Lc-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,Off-Bi-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882
107,Ca-2018-119004,2018-11-23,2018-11-28,Standard Class,Jm-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South,Tec-Ac-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112
108,Ca-2018-119004,2018-11-23,2018-11-28,Standard Class,Jm-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South,Tec-Ph-10002844,Technology,Phones,Speck Products Candyshell Flip Case,27.992
109,Ca-2018-119004,2018-11-23,2018-11-28,Standard Class,Jm-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South,Off-Ar-10000390,Office Supplies,Art,Newell Chalk Holder,3.304
110,Ca-2016-129476,2016-10-15,2016-10-20,Standard Class,Pa-19060,Pete Armstrong,Home Office,United States,Orland Park,Illinois,60462,Central,Tec-Ac-10000844,Technology,Accessories,Logitech Gaming G510s - Keyboard,339.96
111,Ca-2018-146780,2018-12-25,2018-12-30,Standard Class,Cv-12805,Cynthia Voltz,Corporate,United States,New York City,New York,10035,East,Fur-Fu-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96
112,Ca-2017-128867,2017-03-11,2017-10-11,Standard Class,Cl-12565,Clay Ludtke,Consumer,United States,Urbandale,Iowa,50322,Central,Off-Ar-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96
113,Ca-2017-128867,2017-03-11,2017-10-11,Standard Class,Cl-12565,Clay Ludtke,Consumer,United States,Urbandale,Iowa,50322,Central,Off-Bi-10003981,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",27.24
114,Ca-2015-115259,2015-08-25,2015-08-27,Second Class,Rc-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East,Off-Fa-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096
115,Ca-2015-115259,2015-08-25,2015-08-27,Second Class,Rc-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East,Off-En-10002600,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72
116,Ca-2015-115259,2015-08-25,2015-08-27,Second Class,Rc-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East,Off-Pa-10004965,Office Supplies,Paper,Xerox 1921,23.976
117,Ca-2015-115259,2015-08-25,2015-08-27,Second Class,Rc-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East,Off-En-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464
118,Ca-2016-110457,2016-02-03,2016-06-03,Standard Class,Dk-13090,Dave Kipp,Consumer,United States,Seattle,Washington,98103,West,Fur-Ta-10001768,Furniture,Tables,Hon Racetrack Conference Tables,787.53
119,Us-2016-136476,2016-05-04,2016-10-04,Standard Class,Gg-14650,Greg Guthrie,Corporate,United States,Bristol,Tennessee,37620,South,Off-Bi-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,157.794
125,Us-2015-152030,2015-12-26,2015-12-28,Second Class,Ad-10180,Alan Dominguez,Home Office,United States,Houston,Texas,77041,Central,Fur-Ch-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,600.558
126,Us-2015-134614,2015-09-20,2015-09-25,Standard Class,Pf-19165,Philip Fox,Consumer,United States,Bloomington,Illinois,61701,Central,Fur-Ta-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables,617.7
127,Us-2018-107272,2018-05-11,2018-12-11,Standard Class,Ts-21610,Troy Staebel,Consumer,United States,Phoenix,Arizona,85023,West,Off-Bi-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2.388
128,Us-2018-107272,2018-05-11,2018-12-11,Standard Class,Ts-21610,Troy Staebel,Consumer,United States,Phoenix,Arizona,85023,West,Off-St-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",243.992
129,Us-2017-125969,2017-06-11,2017-10-11,Second Class,Ls-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,California,90004,West,Fur-Ch-10001146,Furniture,Chairs,"Global Task Chair, Black",81.424
130,Us-2017-125969,2017-06-11,2017-10-11,Second Class,Ls-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,California,90004,West,Fur-Fu-10003773,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56
131,Us-2018-164147,2018-02-02,2018-05-02,First Class,Dw-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229,East,Tec-Ph-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97
132,Us-2018-164147,2018-02-02,2018-05-02,First Class,Dw-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229,East,Off-Pa-10002377,Office Supplies,Paper,Xerox 1916,78.304
133,Us-2018-164147,2018-02-02,2018-05-02,First Class,Dw-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229,East,Off-Fa-10002780,Office Supplies,Fasteners,Staples,21.456
134,Ca-2017-145583,2017-10-13,2017-10-19,Standard Class,Lc-16885,Lena Creighton,Consumer,United States,Roseville,California,95661,West,Off-Pa-10001804,Office Supplies,Paper,Xerox 195,20.04
135,Ca-2017-145583,2017-10-13,2017-10-19,Standard Class,Lc-16885,Lena Creighton,Consumer,United States,Roseville,California,95661,West,Off-Pa-10001736,Office Supplies,Paper,Xerox 1880,35.44
136,Ca-2017-145583,2017-10-13,2017-10-19,Standard Class,Lc-16885,Lena Creighton,Consumer,United States,Roseville,California,95661,West,Off-Ar-10001149,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",11.52
137,Ca-2017-145583,2017-10-13,2017-10-19,Standard Class,Lc-16885,Lena Creighton,Consumer,United States,Roseville,California,95661,West,Off-Fa-10002988,Office Supplies,Fasteners,Ideal Clamps,4.02
138,Ca-2017-145583,2017-10-13,2017-10-19,Standard Class,Lc-16885,Lena Creighton,Consumer,United States,Roseville,California,95661,West,Off-Bi-10004781,Office Supplies,Binders,GBC Wire Binding Strips,76.176
139,Ca-2017-145583,2017-10-13,2017-10-19,Standard Class,Lc-16885,Lena Creighton,Consumer,United States,Roseville,California,95661,West,Off-Su-10001218,Office Supplies,Supplies,Fiskars Softgrip Scissors,65.88
140,Ca-2017-145583,2017-10-13,2017-10-19,Standard Class,Lc-16885,Lena Creighton,Consumer,United States,Roseville,California,95661,West,Fur-Fu-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,43.12
141,Ca-2017-110366,2017-05-09,2017-07-09,Second Class,Jd-15895,Jonathan Doherty,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Fur-Fu-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.8
142,Ca-2018-106180,2018-09-18,2018-09-23,Standard Class,Sh-19975,Sally Hughsby,Corporate,United States,San Francisco,California,94122,West,Off-Ar-10000940,Office Supplies,Art,Newell 343,8.82
143,Ca-2018-106180,2018-09-18,2018-09-23,Standard Class,Sh-19975,Sally Hughsby,Corporate,United States,San Francisco,California,94122,West,Off-En-10004030,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,10.86
144,Ca-2018-106180,2018-09-18,2018-09-23,Standard Class,Sh-19975,Sally Hughsby,Corporate,United States,San Francisco,California,94122,West,Off-Pa-10004327,Office Supplies,Paper,Xerox 1911,143.7
145,Ca-2018-155376,2018-12-22,2018-12-27,Standard Class,Sg-20080,Sandra Glassco,Consumer,United States,Independence,Missouri,64055,Central,Off-Ap-10001058,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,839.43
146,Ca-2016-110744,2016-07-09,2016-12-09,Standard Class,Ha-14920,Helen Andreada,Consumer,United States,Pasadena,California,91104,West,Off-St-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,671.93
